"","ID","Arena","Day","StartDate","EndDate","StartTime","EndTime","SessionType","Comments"
"51",51,"Tom Brown Arena","Sunday","Sunday, November 15","2016-03-31","12:00 pm "," 12:50 pm","Speed Skating","                      "
"53",53,"Kanata Recreation Complex","Sunday","Sunday, November 15","2016-03-31","12:30 pm "," 1:20 pm","Public Skating","                      "
"55",55,"Bob MacQuarrie Recreation Complex - Orléans","Sunday","Sunday, November 15","2016-03-31","1:00 pm "," 2:50 pm","Public Skating","                      "
"56",56,"Brian Kilrea Arena","Sunday","Sunday, November 15","2016-03-31","1:00 pm "," 1:50 pm","Family Skating","                      "
"57",57,"Fred Barrett Arena","Sunday","Sunday, November 15","2016-03-31","1:00 pm "," 1:50 pm","Family Skating","                      "
"60",60,"Johnny Leroux Stittsville Community Arena","Sunday","Sunday, November 15","2016-03-31","1:00 pm "," 2:20 pm","Public Skating","                      "
"62",62,"McNabb Recreation Centre","Sunday","Sunday, November 15","2016-03-31","1:00 pm "," 1:50 pm","Public Skating","                      "
"63",63,"Navan Memorial Centre","Sunday","Sunday, November 15","2016-03-31","1:00 pm "," 2:20 pm","Public Skating","                      "
"66",66,"Stuart Holmes Arena","Sunday","Sunday, November 15","2016-03-31","1:00 pm "," 2:20 pm","Public Skating","                      "
"67",67,"Tom Brown Arena","Sunday","Sunday, November 15","2016-03-31","1:00 pm "," 1:50 pm","Public Skating","                      "
"69",69,"Kanata Recreation Complex","Sunday","Sunday, November 15","2016-03-31","1:30 pm "," 2:20 pm","Family Skating","                      "
"71",71,"Walter Baker Sports Centre","Sunday","Sunday, November 15","2016-03-31","1:30 pm "," 3:20 pm","Public Skating","             Exceptions: Sunday, November 22                      Sunday, December 13          "
"73",73,"Barbara Ann Scott Arena","Sunday","Sunday, November 15","2016-03-31","2:00 pm "," 2:50 pm","Family Skating","                      "
"74",74,"Belltown Dome","Sunday","Sunday, November 15","2016-03-31","2:00 pm "," 2:50 pm","Family Skating","                      "
"75",75,"Bernard-Grandmaître Arena","Sunday","Sunday, November 15","2016-03-31","2:00 pm "," 3:50 pm","Public Skating","                      "
"78",78,"Brewer Arena","Sunday","Sunday, November 15","2016-03-31","2:00 pm "," 2:50 pm","Family Skating","                      "
"80",80,"Brian Kilrea Arena","Sunday","Sunday, November 15","2016-03-31","2:00 pm "," 2:50 pm","Public Skating","                      "
"82",82,"Fred Barrett Arena","Sunday","Sunday, November 15","2016-03-31","2:00 pm "," 2:50 pm","Public Skating","                      "
"85",85,"St-Laurent Complex","Sunday","Sunday, November 15","2016-03-31","2:00 pm "," 2:50 pm","Family Skating","                      "
"91",91,"Bell Centennial Arena","Sunday","Sunday, November 15","2016-03-31","2:30 pm "," 3:50 pm","Public Skating","                      "
"92",92,"Nepean Sportsplex","Sunday","Sunday, November 15","2016-03-31","2:30 pm "," 3:20 pm","Family Skating","                      "
"94",94,"Barbara Ann Scott Arena","Sunday","Sunday, November 15","2016-03-31","3:00 pm "," 3:50 pm","Public Skating","                      "
"95",95,"Blackburn Arena","Sunday","Sunday, November 15","2016-03-31","3:00 pm "," 3:50 pm","Family Skating","                      "
"97",97,"Brewer Arena","Sunday","Sunday, November 15","2016-03-31","3:00 pm "," 3:50 pm","Public Skating","                      "
"100",100,"Howard Darwin Centennial Arena (formerly Merivale)","Sunday","Sunday, November 15","2016-03-31","3:00 pm "," 4:20 pm","Public Skating","                      "
"101",101,"J.A. Dulude Arena","Sunday","Sunday, November 15","2016-03-31","3:00 pm "," 3:50 pm","Family Skating","                      "
"102",102,"Jack Charron Arena","Sunday","Sunday, November 15","2016-03-31","3:00 pm "," 3:50 pm","Family Skating","                      "
"106",106,"R.J. Kennedy Arena","Sunday","Sunday, November 15","2016-03-31","3:00 pm "," 4:20 pm","Public Skating","                      "
"107",107,"Ray Friel Recreation Complex","Sunday","Sunday, November 15","2016-03-31","3:00 pm "," 3:50 pm","Public Skating","                      "
"109",109,"Sandy Hill Community Centre","Sunday","Sunday, November 15","2016-03-31","3:00 pm "," 4:50 pm","Public Skating","                      "
"112",112,"St-Laurent Complex","Sunday","Sunday, November 15","2016-03-31","3:00 pm "," 3:50 pm","Public Skating","                      "
"116",116,"W. Erskine Johnston Arena","Sunday","Sunday, November 15","2016-03-31","3:00 pm "," 3:50 pm","Public Skating","                      "
"117",117,"Jim Durrell Recreation Centre","Sunday","Sunday, November 15","2016-03-31","3:30 pm "," 4:20 pm","Family Skating","             Exceptions: Sunday, December 6          "
"119",119,"Manotick Arena","Sunday","Sunday, November 15","2016-03-31","3:30 pm "," 4:50 pm","Public Skating","                      "
"127",127,"Blackburn Arena","Sunday","Sunday, November 15","2016-03-31","4:00 pm "," 4:50 pm","Public Skating","                      "
"133",133,"J.A. Dulude Arena","Sunday","Sunday, November 15","2016-03-31","4:00 pm "," 4:50 pm","Public Skating","                      "
"134",134,"Jack Charron Arena","Sunday","Sunday, November 15","2016-03-31","4:00 pm "," 4:50 pm","Public Skating","                      "
"140",140,"Minto Recreation Complex - Barrhaven","Sunday","Sunday, November 15","2016-03-31","4:00 pm "," 5:00 pm","Family Skating","                      "
"148",148,"Jim Durrell Recreation Centre","Sunday","Sunday, November 15","2016-03-31","4:30 pm "," 5:20 pm","Public Skating","             Exceptions: Sunday, November 29                      Sunday, December 6          "
"158",158,"Minto Recreation Complex - Barrhaven","Sunday","Sunday, November 15","2016-03-31","5:00 pm "," 5:50 pm","Public Skating","                      "
"5",5,"Jim Durrell Recreation Centre","Monday","Monday, November 16","2016-03-31","9:30 am "," 10:20 am","Family Skating","                      "
"9",9,"W. Erskine Johnston Arena","Monday","Monday, November 16","2016-03-31","9:30 am "," 10:30 am","Public Skating","                      "
"13",13,"Goulbourn Recreation Complex","Monday","Monday, November 16","2016-03-31","10:00 am "," 10:50 am","Skating 50+","                      "
"21",21,"Richmond Arena","Monday","Monday, November 16","2016-03-31","10:30 am "," 11:20 am","Public Skating","                      "
"22",22,"W. Erskine Johnston Arena","Monday","Monday, November 16","2016-03-31","10:30 am "," 11:20 am","Pick-Up Hockey - 50+","                      "
"24",24,"Jack Charron Arena","Monday","Monday, November 16","2016-03-31","11:00 am "," 11:50 am","Public Skating","                      "
"26",26,"Ray Friel Recreation Complex","Monday","Monday, November 16","2016-03-31","11:00 am "," 11:50 am","Public Skating","                      "
"31",31,"W. Erskine Johnston Arena","Monday","Monday, November 16","2016-03-31","11:30 am "," 12:50 pm","Public Skating","                      "
"34",34,"Barbara Ann Scott Arena","Monday","Monday, November 16","2016-03-31","12:00 pm "," 12:50 pm","Family Skating","                      "
"39",39,"Jack Charron Arena","Monday","Monday, November 16","2016-03-31","12:00 pm "," 12:50 pm","Pick-up Hockey - Adults 35+","                      "
"40",40,"Jim Durrell Recreation Centre","Monday","Monday, November 16","2016-03-31","12:00 pm "," 12:50 pm","Adult Skating","             Exceptions: Friday, December 4          "
"41",41,"Jim Durrell Recreation Centre","Monday","Monday, November 16","2016-03-31","12:00 pm "," 1:20 pm","Pick-up Hockey - Adults 18+","                      "
"46",46,"Ray Friel Recreation Complex","Monday","Monday, November 16","2016-03-31","12:00 pm "," 1:20 pm","Pick-up Hockey - Adults 18+","                      "
"50",50,"St-Laurent Complex","Monday","Monday, November 16","2016-03-31","12:00 pm "," 12:50 pm","Adult Skating","                      "
"65",65,"St-Laurent Complex","Monday","Monday, November 16","2016-03-31","1:00 pm "," 1:50 pm","Pick-up Hockey - Adults 18+","                      "
"76",76,"Bob MacQuarrie Recreation Complex - Orléans","Monday","Monday, November 16","2016-03-31","2:00 pm "," 2:50 pm","Family Skating","                      "
"86",86,"St-Laurent Complex","Monday","Monday, November 16","2016-03-31","2:00 pm "," 2:50 pm","Pick-up Hockey - Adults 18+","                      "
"96",96,"Blackburn Arena","Monday","Monday, November 16","2016-03-31","3:00 pm "," 3:50 pm","Skating 50+","                      "
"104",104,"Navan Memorial Centre","Monday","Monday, November 16","2016-03-31","3:00 pm "," 4:50 pm","Public Skating","                      "
"118",118,"Jim Durrell Recreation Centre","Monday","Monday, November 16","2016-03-31","3:30 pm "," 4:20 pm","Shinny Hockey - Child","                      "
"120",120,"R.J. Kennedy Arena","Monday","Monday, November 16","2016-03-31","3:30 pm "," 4:50 pm","Public Skating","                      "
"126",126,"Belltown Dome","Monday","Monday, November 16","2016-03-31","4:00 pm "," 4:50 pm","Shinny Hockey - Youth (13 - 17 yrs)","                      "
"128",128,"Blackburn Arena","Monday","Monday, November 16","2016-03-31","4:00 pm "," 4:50 pm","Shinny Hockey - Child","                      "
"143",143,"Ray Friel Recreation Complex","Monday","Monday, November 16","2016-03-31","4:00 pm "," 4:50 pm","Shinny Hockey - Youth (13 - 17 yrs)","                      "
"147",147,"Jim Durrell Recreation Centre","Monday","Monday, November 16","2016-03-31","4:30 pm "," 5:20 pm","Public Skating","                      "
"2",2,"Walter Baker Sports Centre","Tuesday","Tuesday, November 17","2016-03-31","7:00 am "," 8:20 am","Pick-up Hockey - Adults 18+","                      "
"3",3,"Jim Durrell Recreation Centre","Tuesday","Tuesday, November 17","2016-03-31","7:30 am "," 8:50 am","Pick-up Hockey - Adults 18+","             Exceptions: Friday, December 4          "
"10",10,"Walter Baker Sports Centre","Tuesday","Tuesday, November 17","2016-03-31","9:30 am "," 10:50 am","Public Skating","                      "
"12",12,"Earl Armstrong Arena","Tuesday","Tuesday, November 17","2016-03-31","10:00 am "," 10:50 am","Family Skating","                      "
"14",14,"J.A. Dulude Arena","Tuesday","Tuesday, November 17","2016-03-31","10:00 am "," 10:50 am","Skating 50+","                      "
"221",22,"W. Erskine Johnston Arena","Tuesday","Monday, November 16","2016-03-31","10:30 am "," 11:20 am","Pick-Up Hockey - 50+","                      "
"30",30,"John G. Mlacak Community Centre","Tuesday","Tuesday, November 17","2016-03-31","11:30 am "," 12:20 pm","Public Skating","                      "
"311",31,"W. Erskine Johnston Arena","Tuesday","Monday, November 16","2016-03-31","11:30 am "," 12:50 pm","Public Skating","                      "
"35",35,"Goulbourn Recreation Complex","Tuesday","Tuesday, November 17","2016-03-31","12:00 pm "," 12:50 pm","Pick-up Hockey - Adults 35+","                      "
"401",40,"Jim Durrell Recreation Centre","Tuesday","Monday, November 16","2016-03-31","12:00 pm "," 12:50 pm","Adult Skating","             Exceptions: Friday, December 4          "
"43",43,"Nepean Sportsplex","Tuesday","Tuesday, November 17","2016-03-31","12:00 pm "," 1:30 pm","Pick-up Hockey - Adults 18+","                      "
"47",47,"Ray Friel Recreation Complex","Tuesday","Tuesday, November 17","2016-03-31","12:00 pm "," 1:20 pm","Pick-up Hockey - Adults 18+","                      "
"501",50,"St-Laurent Complex","Tuesday","Monday, November 16","2016-03-31","12:00 pm "," 12:50 pm","Adult Skating","                      "
"70",70,"Nepean Sportsplex","Tuesday","Tuesday, November 17","2016-03-31","1:30 pm "," 2:50 pm","Public Skating","                      "
"87",87,"St-Laurent Complex","Tuesday","Tuesday, November 17","2016-03-31","2:00 pm "," 2:50 pm","Pick-up Hockey - Adults 18+","                      "
"98",98,"Fred Barrett Arena","Tuesday","Tuesday, November 17","2016-03-31","3:00 pm "," 3:50 pm","Shinny Hockey - Youth (13 - 17 yrs)","                      "
"111",111,"St-Laurent Complex","Tuesday","Tuesday, November 17","2016-03-31","3:00 pm "," 3:50 pm","Pick-up Hockey - Adults 18+","                      "
"113",113,"Stuart Holmes Arena","Tuesday","Tuesday, November 17","2016-03-31","3:00 pm "," 4:20 pm","Public Skating","                      "
"115",115,"W. Erskine Johnston Arena","Tuesday","Tuesday, November 17","2016-03-31","3:00 pm "," 4:30 pm","Pick-up Hockey - Adults 18+","                      "
"124",124,"Belltown Dome","Tuesday","Tuesday, November 17","2016-03-31","4:00 pm "," 4:50 pm","Public Skating","                      "
"131",131,"Fred Barrett Arena","Tuesday","Tuesday, November 17","2016-03-31","4:00 pm "," 4:50 pm","Shinny Hockey - Child","                      "
"137",137,"Manotick Arena","Tuesday","Tuesday, November 17","2016-03-31","4:00 pm "," 4:50 pm","Public Skating","                      "
"144",144,"Sandy Hill Community Centre","Tuesday","Tuesday, November 17","2016-03-31","4:00 pm "," 4:50 pm","Shinny Hockey - Child","                      "
"145",145,"St-Laurent Complex","Tuesday","Tuesday, November 17","2016-03-31","4:00 pm "," 4:50 pm","Public Skating","                      "
"151",151,"Stuart Holmes Arena","Tuesday","Tuesday, November 17","2016-03-31","4:30 pm "," 5:20 pm","Pick-up Hockey - Adults 18+","                      "
"157",157,"Manotick Arena","Tuesday","Tuesday, November 17","2016-03-31","5:00 pm "," 5:50 pm","Pick-up Hockey - Adults 18+","                      "
"160",160,"Sandy Hill Community Centre","Tuesday","Tuesday, November 17","2016-03-31","5:00 pm "," 5:50 pm","Shinny Hockey - Youth (13 - 17 yrs)","                      "
"164",164,"Ray Friel Recreation Complex","Tuesday","Tuesday, November 17","2016-03-31","6:00 pm "," 6:50 pm","Public Skating","                      "
"172",172,"Larry Robinson Arena","Tuesday","Tuesday, November 17","2016-03-31","7:00 pm "," 7:50 pm","Public Skating","                      "
"182",182,"McNabb Recreation Centre","Tuesday","Tuesday, November 17","2016-03-31","8:00 pm "," 8:50 pm","Public Skating","                      "
"20",20,"Larry Robinson Arena","Wednesday","Wednesday, November 18","2016-03-31","10:30 am "," 11:20 am","Public Skating","                      "
"27",27,"Ray Friel Recreation Complex","Wednesday","Wednesday, November 18","2016-03-31","11:00 am "," 11:50 am","Public Skating","                      "
"402",40,"Jim Durrell Recreation Centre","Wednesday","Monday, November 16","2016-03-31","12:00 pm "," 12:50 pm","Adult Skating","             Exceptions: Friday, December 4          "
"42",42,"Manotick Arena","Wednesday","Wednesday, November 18","2016-03-31","12:00 pm "," 12:50 pm","Public Skating","                      "
"48",48,"Ray Friel Recreation Complex","Wednesday","Wednesday, November 18","2016-03-31","12:00 pm "," 1:20 pm","Pick-up Hockey - Adults 18+","                      "
"502",50,"St-Laurent Complex","Wednesday","Monday, November 16","2016-03-31","12:00 pm "," 12:50 pm","Adult Skating","                      "
"52",52,"Walter Baker Sports Centre","Wednesday","Wednesday, November 18","2016-03-31","12:00 pm "," 12:50 pm","Public Skating","                      "
"61",61,"Larry Robinson Arena","Wednesday","Wednesday, November 18","2016-03-31","1:00 pm "," 1:50 pm","Public Skating","                      "
"651",65,"St-Laurent Complex","Wednesday","Monday, November 16","2016-03-31","1:00 pm "," 1:50 pm","Pick-up Hockey - Adults 18+","                      "
"77",77,"Bob MacQuarrie Recreation Complex - Orléans","Wednesday","Wednesday, November 18","2016-03-31","2:00 pm "," 2:50 pm","Skating 50+","                      "
"861",86,"St-Laurent Complex","Wednesday","Monday, November 16","2016-03-31","2:00 pm "," 2:50 pm","Pick-up Hockey - Adults 18+","                      "
