"","ID","Arena","Day","StartDate","EndDate","StartTime","EndTime","SessionType","Comments"
"10",10,"Minto Recreation Complex - Barrhaven","Sunday","Sunday, November 15","2016-03-31","7:00 am "," 10:00 am","Lane Swim","                      "
"19",19,"Splash Wave Pool","Sunday","Sunday, November 15","2016-03-31","7:30 am "," 8:30 am","Lane Swim","                      "
"23",23,"Deborah Anne Kirwan Pool","Sunday","Sunday, November 15","2016-03-31","8:30 am "," 9:30 am","Lane Swim","                      "
"24",24,"François Dupuis Recreation Centre","Sunday","Saturday, November 14","2016-03-31","8:30 am "," 1:00 pm","Lane Swim","                      "
"28",28,"Richcraft Recreation Center - Kanata","Sunday","Saturday, November 14","2016-03-31","8:30 am "," 1:00 pm","Lane Swim","                      "
"43",43,"Champagne Pool & Fitness Centre","Sunday","Saturday, November 14","2016-03-31","10:00 am "," 2:00 pm","Lane Swim","                      "
"45",45,"Nepean Sportsplex","Sunday","Sunday, November 15","2016-03-31","10:00 am "," 11:00 am","Preschool Swim","                      "
"46",46,"François Dupuis Recreation Centre","Sunday","Sunday, November 15","2016-03-31","10:30 am "," 11:30 am","Preschool Swim","                      "
"55",55,"Canterbury Recreation Complex","Sunday","Sunday, November 15","2016-03-31","11:00 am "," 1:00 pm","Lane Swim","                      "
"59",59,"Minto Recreation Complex - Barrhaven","Sunday","Sunday, November 15","2016-03-31","11:00 am "," 3:00 pm","Public Swim","                      "
"60",60,"Ray Friel Recreation Complex","Sunday","Sunday, November 15","2016-03-31","11:00 am "," 1:00 pm","Family Swim","                      "
"63",63,"Kanata Wave Pool","Sunday","Saturday, November 14","2016-03-31","11:30 am "," 12:55 pm","Public Swim","                      "
"64",64,"Nepean Sportsplex","Sunday","Saturday, November 14","2016-03-31","11:30 am "," 3:00 pm","Lane Swim","                      "
"70",70,"Walter Baker Sports Centre","Sunday","Saturday, November 14","2016-03-31","11:30 am "," 1:00 pm","Lane Swim","                      "
"72",72,"Splash Wave Pool","Sunday","Sunday, November 15","2016-03-31","11:45 am "," 1:00 pm","Lane Swim","                      "
"73",73,"Splash Wave Pool","Sunday","Sunday, November 15","2016-03-31","11:45 am "," 1:00 pm","Public Swim","                      "
"74",74,"Brewer Pool","Sunday","Sunday, November 15","2016-03-31","12:00 pm "," 1:30 pm","Lane Swim","                      "
"76",76,"Jack Purcell Community Centre","Sunday","Sunday, November 15","2016-03-31","12:00 pm "," 2:00 pm","Public Swim","                      "
"77",77,"Lowertown Pool","Sunday","Saturday, November 14","2016-03-31","12:00 pm "," 1:30 pm","Lane Swim","                      "
"80",80,"Plant Recreation Centre","Sunday","Saturday, November 14","2016-03-31","12:00 pm "," 1:30 pm","Lane Swim","                      "
"81",81,"Sawmill Creek Pool & Community Centre 
 
  
    25 metre pool","Sunday","Saturday, November 14","2016-03-31","12:00 pm "," 1:00 pm","Lane Swim","                      "
"84",84,"Splash Wave Pool","Sunday","Saturday, November 14","2016-03-31","12:00 pm "," 1:00 pm","Public Swim","                      "
"86",86,"Deborah Anne Kirwan Pool","Sunday","Sunday, November 15","2016-03-31","12:30 pm "," 2:30 pm","Family Swim","                      "
"88",88,"Bob MacQuarrie Recreation Complex - Orléans","Sunday","Sunday, November 15","2016-03-31","1:00 pm "," 2:30 pm","Family Swim","                      "
"91",91,"Canterbury Recreation Complex","Sunday","Sunday, November 15","2016-03-31","1:00 pm "," 2:30 pm","Public Swim","                      "
"92",92,"François Dupuis Recreation Centre","Sunday","Saturday, November 14","2016-03-31","1:00 pm "," 3:30 pm","Public Swim","                      "
"93",93,"Goulbourn Recreation Complex","Sunday","Saturday, November 14","2016-03-31","1:00 pm "," 4:00 pm","Public Swim","                  Hot tub closed until further notice.            "
"96",96,"Kanata Wave Pool","Sunday","Saturday, November 14","2016-03-31","1:00 pm "," 4:00 pm","Wave Swim","                      "
"97",97,"Nepean Sportsplex","Sunday","Saturday, November 14","2016-03-31","1:00 pm "," 3:00 pm","Public Swim","                      "
"99",99,"Ray Friel Recreation Complex","Sunday","Saturday, November 14","2016-03-31","1:00 pm "," 4:00 pm","Wave Swim","                      "
"100",100,"Richcraft Recreation Center - Kanata","Sunday","Saturday, November 14","2016-03-31","1:00 pm "," 4:00 pm","Public Swim","                      "
"101",101,"Sawmill Creek Pool & Community Centre 
 
  
    25 metre pool","Sunday","Saturday, November 14","2016-03-31","1:00 pm "," 3:00 pm","Public Swim","                      "
"102",102,"Splash Wave Pool","Sunday","Saturday, November 14","2016-03-31","1:00 pm "," 6:00 pm","Wave Swim","                      "
"105",105,"Walter Baker Sports Centre","Sunday","Saturday, November 14","2016-03-31","1:00 pm "," 4:00 pm","Public Swim","                      "
"106",106,"Brewer Pool","Sunday","Sunday, November 15","2016-03-31","1:30 pm "," 2:30 pm","Family Swim","                      "
"107",107,"Lowertown Pool","Sunday","Saturday, November 14","2016-03-31","1:30 pm "," 2:45 pm","Family Swim","                      "
"110",110,"Plant Recreation Centre","Sunday","Sunday, November 15","2016-03-31","1:30 pm "," 4:00 pm","Public Swim","                      "
"117",117,"Jack Purcell Community Centre","Sunday","Saturday, November 14","2016-03-31","2:00 pm "," 3:00 pm","Lane Swim","                      "
"121",121,"Bob MacQuarrie Recreation Complex - Orléans","Sunday","Sunday, November 15","2016-03-31","2:30 pm "," 4:30 pm","Public Swim","                      "
"122",122,"Brewer Pool","Sunday","Sunday, November 15","2016-03-31","2:30 pm "," 3:30 pm","Public Swim","                      "
"123",123,"Brewer Pool","Sunday","Saturday, November 14","2016-03-31","2:30 pm "," 3:30 pm","Public Swim","             Exceptions: Saturday, November 21          "
"124",124,"Deborah Anne Kirwan Pool","Sunday","Sunday, September 13","2016-03-31","2:30 pm "," 5:00 pm","Public Swim","                      "
"125",125,"Lowertown Pool","Sunday","Saturday, November 14","2016-03-31","2:45 pm "," 4:00 pm","Public Swim","                      "
"132",132,"François Dupuis Recreation Centre","Sunday","Saturday, November 14","2016-03-31","3:30 pm "," 6:00 pm","Lane Swim","                      "
"139",139,"Plant Recreation Centre","Sunday","Sunday, November 15","2016-03-31","4:00 pm "," 5:30 pm","Lane Swim","                      "
"143",143,"Richcraft Recreation Center - Kanata","Sunday","Saturday, November 14","2016-03-31","4:00 pm "," 7:00 pm","Lane Swim","                      "
"152",152,"Bob MacQuarrie Recreation Complex - Orléans","Sunday","Sunday, November 15","2016-03-31","5:30 pm "," 7:00 pm","Lane Swim","                      "
"153",153,"Bob MacQuarrie Recreation Complex - Orléans","Sunday","Sunday, November 15","2016-03-31","5:30 pm "," 7:00 pm","Preschool Swim","                      "
"154",154,"Jack Purcell Community Centre","Sunday","Sunday, November 15","2016-03-31","5:30 pm "," 6:30 pm","Women Only Family","                      "
"171",171,"Sawmill Creek Pool & Community Centre 
 
  
    25 metre pool","Sunday","Sunday, November 15","2016-03-31","6:30 pm "," 8:00 pm","Public Swim","                      "
"173",173,"Walter Baker Sports Centre","Sunday","Saturday, November 14","2016-03-31","6:30 pm "," 8:00 pm","Public Swim","                      "
"187",187,"Goulbourn Recreation Complex","Sunday","Sunday, November 15","2016-03-31","7:30 pm "," 8:30 pm","Lane Swim","                  Hot tub closed until further notice.            "
"1",1,"Bob MacQuarrie Recreation Complex - Orléans","Monday","Monday, November 16","2016-03-31","6:00 am "," 9:00 am","Lane Swim","                      "
"3",3,"Ray Friel Recreation Complex","Monday","Monday, November 16","2016-03-31","6:00 am "," 8:00 am","Lane Swim","                      "
"4",4,"Richcraft Recreation Center - Kanata","Monday","Monday, November 16","2016-03-31","6:00 am "," 4:00 pm","Lane Swim","                      "
"5",5,"Splash Wave Pool","Monday","Monday, November 16","2016-03-31","6:00 am "," 8:00 am","Lane Swim","                      "
"6",6,"Champagne Pool & Fitness Centre","Monday","Monday, November 16","2016-03-31","6:30 am "," 9:00 am","Lane Swim","                      "
"8",8,"Nepean Sportsplex","Monday","Monday, November 16","2016-03-31","6:30 am "," 8:00 am","Lane Swim","                      "
"9",9,"Kanata Wave Pool","Monday","Monday, November 16","2016-03-31","7:00 am "," 8:30 am","Lane Swim","                      "
"11",11,"Plant Recreation Centre","Monday","Monday, November 16","2016-03-31","7:00 am "," 9:00 am","Lane Swim","             Last session: Friday, November 27, 2015          "
"17",17,"Goulbourn Recreation Complex","Monday","Monday, November 16","2016-03-31","7:30 am "," 9:00 am","Lane Swim","                  Hot tub closed until further notice.            "
"18",18,"Minto Recreation Complex - Barrhaven","Monday","Monday, November 16","2016-03-31","7:30 am "," 3:00 pm","Lane Swim","                      "
"25",25,"François Dupuis Recreation Centre","Monday","Monday, November 16","2016-03-31","8:30 am "," 9:00 pm","Lane Swim","                      "
"27",27,"Nepean Sportsplex","Monday","Monday, November 16","2016-03-31","8:30 am "," 1:00 pm","Lane Swim","                      "
"29",29,"Richcraft Recreation Center - Kanata","Monday","Monday, November 16","2016-03-31","8:30 am "," 10:00 am","Preschool Swim","                      "
"31",31,"Walter Baker Sports Centre","Monday","Monday, November 16","2016-03-31","8:30 am "," 10:00 am","Lane Swim","                      "
"35",35,"Plant Recreation Centre","Monday","Monday, November 16","2016-03-31","9:00 am "," 11:30 am","Lane Swim","             Last session: Friday, November 27, 2015          "
"37",37,"Kanata Wave Pool","Monday","Monday, November 16","2016-03-31","9:30 am "," 11:00 am","Preschool Swim","                      "
"38",38,"Minto Recreation Complex - Barrhaven","Monday","Monday, November 16","2016-03-31","9:30 am "," 11:30 am","Preschool Swim","                      "
"42",42,"Canterbury Recreation Complex","Monday","Monday, November 16","2016-03-31","10:00 am "," 11:00 am","Public Swim","                      "
"431",43,"Champagne Pool & Fitness Centre","Monday","Saturday, November 14","2016-03-31","10:00 am "," 2:00 pm","Lane Swim","                      "
"47",47,"Jack Purcell Community Centre","Monday","Monday, November 16","2016-03-31","10:30 am "," 12:00 pm","Swim for Persons with a Disability","                  Swims for Persons with a Disability: Participants in this swimming program must be 16 years of age and older. You must also complete the Swims for Persons with a Disability Application Form which needs approval from a Full Time Staff at Jack Purcell and updated on an annual basis.            "
"48",48,"Plant Recreation Centre","Monday","Monday, November 16","2016-03-31","10:30 am "," 1:00 pm","Public Swim","             Last session: Friday, November 27, 2015          "
"49",49,"Ray Friel Recreation Complex","Monday","Monday, November 16","2016-03-31","10:30 am "," 1:00 pm","Public Swim","                      "
"50",50,"Splash Wave Pool","Monday","Monday, November 16","2016-03-31","10:30 am "," 1:00 pm","Lane Swim","                      "
"51",51,"Splash Wave Pool","Monday","Monday, November 16","2016-03-31","10:30 am "," 1:00 pm","Public Swim","                      "
"53",53,"Bob MacQuarrie Recreation Complex - Orléans","Monday","Monday, November 16","2016-03-31","11:00 am "," 1:00 pm","Lane Swim","                      "
"54",54,"Brewer Pool","Monday","Monday, November 16","2016-03-31","11:00 am "," 1:00 pm","Lane Swim","                      "
"551",55,"Canterbury Recreation Complex","Monday","Sunday, November 15","2016-03-31","11:00 am "," 1:00 pm","Lane Swim","                      "
"56",56,"Kanata Wave Pool","Monday","Monday, November 16","2016-03-31","11:00 am "," 1:00 pm","Public Swim","                      "
"57",57,"Lowertown Pool","Monday","Monday, November 16","2016-03-31","11:00 am "," 1:00 pm","Lane Swim","                      "
"58",58,"Minto Recreation Complex - Barrhaven","Monday","Monday, November 16","2016-03-31","11:00 am "," 1:00 pm","Public Swim","                      "
"61",61,"François Dupuis Recreation Centre","Monday","Monday, November 16","2016-03-31","11:30 am "," 1:30 pm","Public Swim","                      "
"62",62,"Goulbourn Recreation Complex","Monday","Monday, November 16","2016-03-31","11:30 am "," 1:00 pm","Lane Swim","                  Hot tub closed until further notice.            "
"65",65,"Nepean Sportsplex","Monday","Monday, November 16","2016-03-31","11:30 am "," 1:00 pm","Public Swim","                      "
"66",66,"Plant Recreation Centre","Monday","Monday, November 16","2016-03-31","11:30 am "," 1:00 pm","Lane Swim","             Last session: Friday, November 27, 2015          "
"68",68,"Richcraft Recreation Center - Kanata","Monday","Monday, November 16","2016-03-31","11:30 am "," 1:00 pm","Public Swim","                      "
"69",69,"Sawmill Creek Pool & Community Centre 
 
  
    25 metre pool","Monday","Monday, November 16","2016-03-31","11:30 am "," 1:00 pm","Lane Swim","                      "
"71",71,"Walter Baker Sports Centre","Monday","Monday, November 16","2016-03-31","11:30 am "," 1:00 pm","Public Swim","                      "
"75",75,"Jack Purcell Community Centre","Monday","Monday, November 16","2016-03-31","12:00 pm "," 1:00 pm","Lane Swim","                      "
"82",82,"Splash Wave Pool","Monday","Monday, November 16","2016-03-31","12:00 pm "," 12:30 pm","50+ Vitality","             Exceptions: Friday, November 20          "
"89",89,"Brewer Pool","Monday","Monday, November 16","2016-03-31","1:00 pm "," 2:00 pm","Family Swim","                      "
"98",98,"Plant Recreation Centre","Monday","Monday, November 16","2016-03-31","1:00 pm "," 4:00 pm","Lane Swim","             Last session: Friday, November 27, 2015          "
"104",104,"Walter Baker Sports Centre","Monday","Monday, November 16","2016-03-31","1:00 pm "," 2:00 pm","Lane Swim","                      "
"113",113,"Brewer Pool","Monday","Monday, November 16","2016-03-31","2:00 pm "," 3:30 pm","Lane Swim","                      "
"116",116,"Goulbourn Recreation Complex","Monday","Monday, November 16","2016-03-31","2:00 pm "," 3:00 pm","Family Swim","                  Hot tub closed until further notice.            "
"120",120,"Walter Baker Sports Centre","Monday","Monday, November 16","2016-03-31","2:00 pm "," 3:00 pm","Public Swim","                      "
"131",131,"Lowertown Pool","Monday","Monday, November 16","2016-03-31","3:00 pm "," 4:00 pm","Lane Swim","                      "
"135",135,"Deborah Anne Kirwan Pool","Monday","Monday, November 16","2016-03-31","4:00 pm "," 5:00 pm","50+ Swim","                      "
"136",136,"Jack Purcell Community Centre","Monday","Monday, November 16","2016-03-31","4:00 pm "," 5:00 pm","Lane Swim","                      "
"138",138,"Plant Recreation Centre","Monday","Monday, November 16","2016-03-31","4:00 pm "," 5:00 pm","Lane Swim","             Last session: Friday, November 27, 2015          "
"140",140,"Plant Recreation Centre","Monday","Monday, November 16","2016-03-31","4:00 pm "," 5:00 pm","Public Swim","             Last session: Thursday, November 26, 2015          "
"146",146,"Champagne Pool & Fitness Centre","Monday","Monday, November 16","2016-03-31","5:00 pm "," 7:30 pm","Lane Swim","                      "
"155",155,"Deborah Anne Kirwan Pool","Monday","Monday, November 16","2016-03-31","6:00 pm "," 8:00 pm","Family Swim","                      "
"157",157,"Jack Purcell Community Centre","Monday","Monday, November 16","2016-03-31","6:00 pm "," 7:00 pm","Public Swim","                      "
"158",158,"Minto Recreation Complex - Barrhaven","Monday","Monday, November 16","2016-03-31","6:00 pm "," 10:30 pm","Lane Swim","                      "
"176",176,"Jack Purcell Community Centre","Monday","Monday, November 16","2016-03-31","7:00 pm "," 8:00 pm","Lane Swim","                      "
"182",182,"Richcraft Recreation Center - Kanata","Monday","Monday, November 16","2016-03-31","7:00 pm "," 9:00 pm","Lane Swim","                      "
"183",183,"Richcraft Recreation Center - Kanata","Monday","Monday, November 16","2016-03-31","7:00 pm "," 9:00 pm","Public Swim","                      "
"185",185,"Bob MacQuarrie Recreation Complex - Orléans","Monday","Monday, November 16","2016-03-31","7:30 pm "," 8:30 pm","Lane Swim","                      "
"186",186,"Bob MacQuarrie Recreation Complex - Orléans","Monday","Monday, November 16","2016-03-31","7:30 pm "," 8:30 pm","Public Swim","                      "
"188",188,"Nepean Sportsplex","Monday","Monday, November 16","2016-03-31","7:30 pm "," 9:00 pm","Lane Swim","                      "
"191",191,"Walter Baker Sports Centre","Monday","Monday, November 16","2016-03-31","7:30 pm "," 9:00 pm","Lane Swim","             Exceptions: Friday, December 4          "
"197",197,"Brewer Pool","Monday","Monday, November 16","2016-03-31","8:00 pm "," 9:30 pm","Lane Swim","                      "
"198",198,"Deborah Anne Kirwan Pool","Monday","Monday, November 16","2016-03-31","8:00 pm "," 9:00 pm","Women Only","                      "
"201",201,"Lowertown Pool","Monday","Monday, November 16","2016-03-31","8:00 pm "," 9:00 pm","Lane Swim","                      "
"207",207,"Sawmill Creek Pool & Community Centre 
 
  
    25 metre pool  
 

  
    Shared Pool","Monday","Monday, November 16","2016-03-31","8:00 pm "," 9:00 pm","Lane Swim","                      "
"208",208,"Splash Wave Pool","Monday","Monday, November 16","2016-03-31","8:00 pm "," 9:00 pm","Lane Swim","                      "
"210",210,"Canterbury Recreation Complex","Monday","Monday, November 16","2016-03-31","8:15 pm "," 9:15 pm","Lane Swim","                      "
"212",212,"Ray Friel Recreation Complex","Monday","Monday, November 16","2016-03-31","8:15 pm "," 9:30 pm","Lane Swim","                      "
"214",214,"Champagne Pool & Fitness Centre","Monday","Monday, November 16","2016-03-31","8:30 pm "," 9:30 pm","Lane Swim","                      "
"215",215,"Goulbourn Recreation Complex","Monday","Monday, November 16","2016-03-31","8:30 pm "," 9:30 pm","Lane Swim","                  Hot tub closed until further notice.            "
"216",216,"Kanata Wave Pool","Monday","Monday, November 16","2016-03-31","8:30 pm "," 9:30 pm","Lane Swim","                      "
"217",217,"Plant Recreation Centre","Monday","Monday, November 16","2016-03-31","8:30 pm "," 9:30 pm","Lane Swim","             Last session: Thursday, November 26, 2015          "
"2",2,"Minto Recreation Complex - Barrhaven","Tuesday","Tuesday, November 17","2016-03-31","6:00 am "," 3:00 pm","Lane Swim","                      "
"410",4,"Richcraft Recreation Center - Kanata","Tuesday","Monday, November 16","2016-03-31","6:00 am "," 4:00 pm","Lane Swim","                      "
"610",6,"Champagne Pool & Fitness Centre","Tuesday","Monday, November 16","2016-03-31","6:30 am "," 9:00 am","Lane Swim","                      "
"112",11,"Plant Recreation Centre","Tuesday","Monday, November 16","2016-03-31","7:00 am "," 9:00 am","Lane Swim","             Last session: Friday, November 27, 2015          "
"12",12,"Ray Friel Recreation Complex","Tuesday","Tuesday, November 17","2016-03-31","7:00 am "," 9:00 am","Lane Swim","                      "
"13",13,"Sawmill Creek Pool & Community Centre 
 
  
    25 metre pool","Tuesday","Tuesday, November 17","2016-03-31","7:00 am "," 8:30 am","Lane Swim","                      "
"14",14,"Bob MacQuarrie Recreation Complex - Orléans","Tuesday","Tuesday, November 17","2016-03-31","7:30 am "," 9:00 am","Lane Swim","                      "
"20",20,"Walter Baker Sports Centre","Tuesday","Tuesday, November 17","2016-03-31","7:30 am "," 8:30 am","Lane Swim","                      "
"21",21,"Brewer Pool","Tuesday","Tuesday, November 17","2016-03-31","8:00 am "," 9:00 am","Lane Swim","                      "
"22",22,"Kanata Wave Pool","Tuesday","Tuesday, November 17","2016-03-31","8:00 am "," 9:00 am","Lane Swim","                      "
"251",25,"François Dupuis Recreation Centre","Tuesday","Monday, November 16","2016-03-31","8:30 am "," 9:00 pm","Lane Swim","                      "
"271",27,"Nepean Sportsplex","Tuesday","Monday, November 16","2016-03-31","8:30 am "," 1:00 pm","Lane Swim","                      "
"30",30,"Sawmill Creek Pool & Community Centre 
 
  
    25 metre pool","Tuesday","Tuesday, November 17","2016-03-31","8:30 am "," 10:00 am","Public Swim","                      "
"33",33,"Goulbourn Recreation Complex","Tuesday","Tuesday, November 17","2016-03-31","9:00 am "," 10:00 am","50+ Swim","                  Hot tub closed until further notice.            "
"34",34,"Nepean Sportsplex","Tuesday","Tuesday, November 17","2016-03-31","9:00 am "," 10:00 am","Preschool Swim","                      "
"351",35,"Plant Recreation Centre","Tuesday","Monday, November 16","2016-03-31","9:00 am "," 11:30 am","Lane Swim","             Last session: Friday, November 27, 2015          "
"36",36,"François Dupuis Recreation Centre","Tuesday","Tuesday, November 17","2016-03-31","9:30 am "," 10:30 am","Preschool Swim","                      "
"39",39,"Walter Baker Sports Centre","Tuesday","Tuesday, November 17","2016-03-31","9:30 am "," 10:30 am","Public Swim","                      "
"41",41,"Ray Friel Recreation Complex","Tuesday","Tuesday, November 17","2016-03-31","9:45 am "," 10:30 am","Preschool Swim","                      "
"432",43,"Champagne Pool & Fitness Centre","Tuesday","Saturday, November 14","2016-03-31","10:00 am "," 2:00 pm","Lane Swim","                      "
"44",44,"Lowertown Pool","Tuesday","Tuesday, November 17","2016-03-31","10:00 am "," 11:00 am","50+ Vitality","                      "
"491",49,"Ray Friel Recreation Complex","Tuesday","Monday, November 16","2016-03-31","10:30 am "," 1:00 pm","Public Swim","                      "
"501",50,"Splash Wave Pool","Tuesday","Monday, November 16","2016-03-31","10:30 am "," 1:00 pm","Lane Swim","                      "
"511",51,"Splash Wave Pool","Tuesday","Monday, November 16","2016-03-31","10:30 am "," 1:00 pm","Public Swim","                      "
"52",52,"Walter Baker Sports Centre","Tuesday","Tuesday, November 17","2016-03-31","10:30 am "," 11:30 am","Lane Swim","                      "
"531",53,"Bob MacQuarrie Recreation Complex - Orléans","Tuesday","Monday, November 16","2016-03-31","11:00 am "," 1:00 pm","Lane Swim","                      "
"541",54,"Brewer Pool","Tuesday","Monday, November 16","2016-03-31","11:00 am "," 1:00 pm","Lane Swim","                      "
"552",55,"Canterbury Recreation Complex","Tuesday","Sunday, November 15","2016-03-31","11:00 am "," 1:00 pm","Lane Swim","                      "
"561",56,"Kanata Wave Pool","Tuesday","Monday, November 16","2016-03-31","11:00 am "," 1:00 pm","Public Swim","                      "
"571",57,"Lowertown Pool","Tuesday","Monday, November 16","2016-03-31","11:00 am "," 1:00 pm","Lane Swim","                      "
"581",58,"Minto Recreation Complex - Barrhaven","Tuesday","Monday, November 16","2016-03-31","11:00 am "," 1:00 pm","Public Swim","                      "
"611",61,"François Dupuis Recreation Centre","Tuesday","Monday, November 16","2016-03-31","11:30 am "," 1:30 pm","Public Swim","                      "
"621",62,"Goulbourn Recreation Complex","Tuesday","Monday, November 16","2016-03-31","11:30 am "," 1:00 pm","Lane Swim","                  Hot tub closed until further notice.            "
